NAMES.BREEDINGBOX_NC	Hộp hạt giống
NAMES.FT_CARAMBOLA_SEEDS	Hạt khế
NAMES.FT_CARAMBOLA_SEEDS_COOKED	Hạt khế nướng
NAMES.FT_CARAMBOLA_TREE	Cây khế
NAMES.FT_CARAMBOLA_TREE_EMPTY	Cây khế
NAMES.FT_CARAMBOLA_TREE_FULL	Cây khế
NAMES.FT_CARAMBOLA_TREE_LARGE	Cây khế
NAMES.FT_CARAMBOLA_TREE_SMALL	Cây khế
NAMES.FT_CARPET	Thảm phong cách rừng
NAMES.FT_CHARCOAL	Than củi
NAMES.FT_CHERRY	Anh đào
NAMES.FT_CHERRY_COOKED	Anh đào nướng
NAMES.FT_CHERRY_FAIRY	Tinh linh anh đào
NAMES.FT_CHERRY_OVERSIZED	Anh đào khổng lồ
NAMES.FT_CHERRY_OVERSIZED_ROTTEN	Anh đào khổng lồ thối
NAMES.FT_CHERRY_OVERSIZED_WAXED	Anh đào khổng lồ phủ sáp
NAMES.FT_CHERRY_SEEDS	Hạt anh đào
NAMES.FT_CITYHALL	Nhà thị trưởng
NAMES.FT_CLOCK	Đồng hồ ma thuật
NAMES.FT_COFFEETABLE	Bàn trà có đèn
NAMES.FT_COIN	Đồng xu cổ tích
NAMES.FT_CRYSTAL	Đá tinh thể
NAMES.FT_CRYSTALGRAIN	Hạt tinh thể
NAMES.FT_CRYSTALORE	Quặng tinh thể
NAMES.FT_DEERCLOPS	Bé Deerclops
NAMES.FT_DEERCLOPS_EGG	Trứng Deerclops
NAMES.FT_DEERCLOPS_ICEBOX_1	Tủ lạnh Deerclops
NAMES.FT_DEERCLOPS_ICEBOX_2	Tủ lạnh Deerclops
NAMES.FT_DEERCLOPS_ICEBOX_BROKEN	Tủ lạnh Deerclops
NAMES.FT_DISPLAYCASE	Tủ trưng bày cổ tích
NAMES.FT_DOODLINGCARPET	Thảm vẽ nguệch ngoạc
NAMES.FT_DRAGONFLY	Bé Dragonfly
NAMES.FT_DRAGONFLY_FACTORY_1	Lò luyện Dragonfly
NAMES.FT_DRAGONFLY_FACTORY_2	Lò luyện Dragonfly
NAMES.FT_DRAGONFLY_FACTORY_BROKEN	Lò luyện Dragonfly
NAMES.FT_ELEPHANTSPRINKLER	Voi con nghịch nước
NAMES.FT_FESTIVALHAT	Mũ lễ hội
NAMES.FT_FIREPLACE	Lò sưởi
NAMES.FT_FLOWERRACK	Kệ chậu hoa
NAMES.FT_FOUNTAIN	Đài phun nước ước nguyện
NAMES.FT_FOXBAG	Ba lô màu anh đào
NAMES.FT_FOXMASK_MALE	Mặt nạ cáo
NAMES.FT_FUNGI	Áo nấm
NAMES.FT_FUNGITREE	Cây nấm
NAMES.FT_GRAPEFRUIT	Bưởi
NAMES.FT_GRAPEFRUIT_COOKED	Bưởi nướng
NAMES.FT_GRAPEFRUIT_SEEDS	Hạt bưởi
NAMES.FT_GRAPEFRUIT_SEEDS_COOKED	Hạt bưởi nướng
NAMES.FT_GRAPEFRUIT_TREE	Cây bưởi
NAMES.FT_GRAPEFRUIT_TREE_EMPTY	Cây bưởi
NAMES.FT_GRAPEFRUIT_TREE_FULL	Cây bưởi
NAMES.FT_GRAPEFRUIT_TREE_LARGE	Cây bưởi
NAMES.FT_GRAPEFRUIT_TREE_SMALL	Cây bưởi
NAMES.FT_GREATLOG	Gỗ tinh
NAMES.FT_HEXSTICK	Đũa phép của phù thủy
NAMES.FT_HJMHAMMER	Búa Meo Meo
NAMES.FT_HJMHOUSE	Nhà Mèo
NAMES.FT_HJMWELL	Giếng Meo Meo
NAMES.FT_HOMESIGN	Bảng gỗ mèo
NAMES.FT_HOTPOT	Lẩu tiệc tùng
NAMES.FT_HOTPOT_ITEM	Lẩu tiệc tùng
NAMES.FT_LANTERN	Đèn lồng
NAMES.FT_LICHEE	Vải
NAMES.FT_LICHEE_COOKED	Vải nướng
NAMES.FT_LICHEE_FAIRY	Tinh linh vải
NAMES.FT_LICHEE_OVERSIZED	Vải khổng lồ
NAMES.FT_LICHEE_OVERSIZED_ROTTEN	Vải khổng lồ thối
NAMES.FT_LICHEE_OVERSIZED_WAXED	Vải khổng lồ phủ sáp
NAMES.FT_LICHEE_SEEDS	Hạt vải
NAMES.FT_LOTUSLEAF	Lá sen
NAMES.FT_LOTUSLEAF_ITEM	Lá sen
NAMES.FT_LOTUSSTATUE	Sùng Tử
NAMES.FT_MAGICHOUSE	Cửa hàng ma thuật
NAMES.FT_MAGICSTAFF	Gậy phép đa năng
NAMES.FT_MAGICSTONE	Đá ma thuật
NAMES.FT_MANGO	Xoài
NAMES.FT_MANGOSTEEN	Măng cụt
NAMES.FT_MANGOSTEEN_COOKED	Măng cụt nướng
NAMES.FT_MANGOSTEEN_FAIRY	Tinh linh măng cụt
NAMES.FT_MANGOSTEEN_OVERSIZED	Măng cụt khổng lồ
NAMES.FT_MANGOSTEEN_OVERSIZED_ROTTEN	Măng cụt khổng lồ thối
NAMES.FT_MANGOSTEEN_OVERSIZED_WAXED	Măng cụt khổng lồ phủ sáp
NAMES.FT_MANGOSTEEN_SEEDS	Hạt măng cụt
NAMES.FT_MANGO_COOKED	Xoài nướng
NAMES.FT_MANGO_DRIED	Xoài sấy
NAMES.FT_MANGO_FAIRY	Tinh linh xoài
NAMES.FT_MANGO_OVERSIZED	Xoài khổng lồ
NAMES.FT_MANGO_OVERSIZED_ROTTEN	Xoài khổng lồ thối
NAMES.FT_MANGO_OVERSIZED_WAXED	Xoài khổng lồ phủ sáp
NAMES.FT_MANGO_SEEDS	Hạt xoài
NAMES.FT_MEDICINE_HAPPY	Thuốc hạnh phúc
NAMES.FT_MEDICINE_HEALTH	Thuốc hồi máu
NAMES.FT_MEDICINE_STRONG	Thuốc sức mạnh
NAMES.FT_MUD	Bùn đất
NAMES.FT_NAVIGATION	Quầy hướng dẫn
NAMES.FT_PEBBLE	Sỏi
NAMES.FT_PEBBLE_ITEM	Sỏi
NAMES.FT_PIANO	Đàn piano
NAMES.FT_PILLAR_1	Cột đèn hoa
NAMES.FT_PINEAPPLE	Dứa
NAMES.FT_PINEAPPLE_COOKED	Dứa nướng
NAMES.FT_PINEAPPLE_FAIRY	Tinh linh dứa
NAMES.FT_PINEAPPLE_OVERSIZED	Dứa khổng lồ
NAMES.FT_PINEAPPLE_OVERSIZED_ROTTEN	Dứa khổng lồ thối
NAMES.FT_PINEAPPLE_OVERSIZED_WAXED	Dứa khổng lồ phủ sáp
NAMES.FT_PINEAPPLE_SEEDS	Hạt dứa
NAMES.FT_PISTACHIO	Cây hạt dẻ cười
NAMES.FT_PISTACHIOSEEDS	Hạt dẻ cười sống
NAMES.FT_PISTACHIOSEEDS_DRY	Hạt dẻ cười chín
NAMES.FT_PISTACHIO_DUG	Cây hạt dẻ cười đã đào
NAMES.FT_PLANTMA	Bà Liễu
NAMES.FT_PLANTMA_CART	Xe đẩy
NAMES.FT_POTION_BLUE	Thuốc tăng tốc
NAMES.FT_POTION_GREEN	Thuốc hiệu suất
NAMES.FT_POTION_RED	Thuốc tấn công
NAMES.FT_POTTEDPLANT	Chậu cây cảnh
NAMES.FT_PUZZLE	Thảm ghép hình
NAMES.FT_ROASTER	Máy nướng
NAMES.FT_ROSELIGHT	Đèn đường
NAMES.FT_SEASONING_DISHES	Món ăn nêm nếm
NAMES.FT_SHOWER	Vòi sen
NAMES.FT_SINK	Bồn rửa tay
NAMES.FT_STONECONTAINER	Rương tượng đá
NAMES.FT_STONESWORD	Thanh kiếm trong đá
NAMES.FT_STONESWORD2	Kiếm trong đá nâng cấp
NAMES.FT_STRAWBERRY	Dâu tây
NAMES.FT_STRAWBERRY_COOKED	Dâu tây nướng
NAMES.FT_STRAWBERRY_FAIRY	Tinh linh dâu tây
NAMES.FT_STRAWBERRY_OVERSIZED	Dâu tây khổng lồ
NAMES.FT_STRAWBERRY_OVERSIZED_ROTTEN	Dâu tây khổng lồ thối
NAMES.FT_STRAWBERRY_OVERSIZED_WAXED	Dâu tây khổng lồ phủ sáp
NAMES.FT_STRAWBERRY_SEEDS	Hạt dâu tây
NAMES.FT_SUNFLOWER	Hoa hướng dương
NAMES.FT_SUNFLOWERSEEDS	Hạt hướng dương sống
NAMES.FT_SUNFLOWERSEEDS_DRY	Hạt hướng dương rang
NAMES.FT_SUNFLOWER_DUG	Hoa hướng dương đã đào
NAMES.FT_SWING	Xích đu đơn
NAMES.FT_SWING_DOUBLE	Xích đu đôi
NAMES.FT_TASK_MAIL	Hòm thư công hội
NAMES.FT_TASK_STRUCTURE	Công trình nhiệm vụ
NAMES.FT_TELEGATE_BLUE	Cổng dịch chuyển thị trấn cổ tích
NAMES.FT_TELEGATE_GREEN	Cổng dịch chuyển sân ga
NAMES.FT_TENT	Lều trại
NAMES.FT_TENTACLE_UMBRELLA	Dù xúc tu
NAMES.FT_TRADINGBANK	Quầy đổi tiền tệ
NAMES.FT_TREELAMP	Đèn cây
NAMES.FT_VICIOUSHAT	Mũ Mồm Thối
NAMES.FT_VICIOUSHAT2	Mũ Mồm Thối (tỉnh táo)
NAMES.FT_WANXIANGBAG	Ba lô Vạn Tượng
NAMES.FT_WHEAT	Lúa mì
NAMES.FT_WHEAT_PLANT	Cây lúa mì
NAMES.FT_WHEAT_SEED	Hạt lúa mì
NAMES.FT_WISHSTICK	Quẻ thượng thượng
NAMES.FT_WORK_ROBOT	A Đa
NAMES.FT_YELLOWPEACH	Đào vàng
NAMES.FT_YELLOWPEACH_COOKED	Đào vàng nướng
NAMES.FT_YELLOWPEACH_SEEDS	Hạt đào vàng
NAMES.FT_YELLOWPEACH_SEEDS_COOKED	Hạt đào vàng nướng
NAMES.FT_YELLOWPEACH_TREE	Cây đào vàng
NAMES.FT_YELLOWPEACH_TREE_EMPTY	Cây đào vàng
NAMES.FT_YELLOWPEACH_TREE_FULL	Cây đào vàng
NAMES.FT_YELLOWPEACH_TREE_LARGE	Cây đào vàng
NAMES.FT_YELLOWPEACH_TREE_SMALL	Cây đào vàng
NAMES.FT_YOLII	Yolii
NAMES.FT_ZHAOZI	Chiếu Tử
NAMES.GRANARY_NC	Kho lương
NAMES.GRANARY_NC_BUILT	Bản thiết kế kho lương
NAMES.MONKEY2	Vật nuôi - Khỉ
NAMES.MOOSE3	Vật nuôi - Nai sừng ngỗng
NAMES.NOCHANGXIAOWU	Nhà nông trại
NAMES.NOCHANGXIAOWU0	Nhà nông trại
NAMES.THSJ_BFSGGT	Trái cây hỗn hợp đóng hộp
NAMES.THSJ_BLF	Cơm rang dứa
NAMES.THSJ_FEILIAO	Tinh chất phân bón
NAMES.THSJ_FMYZC	Trà bưởi mật ong
NAMES.THSJ_PEILING	Bội Linh
NAMES.THSJ_PTJ	Rượu vang
NAMES.THSJ_ROCKTIPS	Đá nốt nhạc
NAMES.THSJ_TMB	Roi dây leo
NAMES.THSJ_WINGS	Cánh Nữ vương tinh linh
NAMES.THSJ_YZGL	Chè dương chi cam lộ
NAMES.TURF_FT_TURF1	Gạch ô vuông 1
NAMES.TURF_FT_TURF10	Sàn ô vuông xám nhạt
NAMES.TURF_FT_TURF11	Đường đá xanh
NAMES.TURF_FT_TURF12	Bãi cát 1
NAMES.TURF_FT_TURF13	Sàn ô vuông lớn xám đậm
NAMES.TURF_FT_TURF14	Sàn xám đậm
NAMES.TURF_FT_TURF15	Sàn ô vuông xám đậm
NAMES.TURF_FT_TURF2	Gạch ô vuông 2
NAMES.TURF_FT_TURF3	Gạch ô vuông 3
NAMES.TURF_FT_TURF4	Sàn hoa
NAMES.TURF_FT_TURF5	Sàn ô vuông hoa
NAMES.TURF_FT_TURF6	Đường đá hoa
NAMES.TURF_FT_TURF7	Gạch đá lớn màu xám
NAMES.TURF_FT_TURF8	Sàn hình thoi
NAMES.TURF_FT_TURF9	Sàn xám nhạt
NAMES.WATERINGCAN_FULL	Bình tưới đầy nước
RECIPE_DESC.COMMAND_STAFF	Có nó rồi, mình chính là bậc thầy chỉ huy hỗn loạn!
RECIPE_DESC.FT_ARTCRAFT	Vật trang trí nhỏ
RECIPE_DESC.FT_AUTUMNHAT	Mũ phát sáng
RECIPE_DESC.FT_BEACHUMBRELLA	Chống mưa 100%, hồi tinh thần
RECIPE_DESC.FT_BEARGER_FACTORY	Xưởng gỗ Bearger
RECIPE_DESC.FT_BED	Một chiếc giường bình thường
RECIPE_DESC.FT_BOOKCASE	Ma thuật sẽ tự sửa sách
RECIPE_DESC.FT_BOTTLELAMP	Đèn chai phát sáng
RECIPE_DESC.FT_BUCKET	Múc nước
RECIPE_DESC.FT_BUILDSTAFF	Cải tạo ngôi nhà nhỏ của bạn
RECIPE_DESC.FT_BUNDLEWRAP	Là cái lọ, hay là một chiếc vali nhỏ nhỉ?
RECIPE_DESC.FT_CARPET	Thảm lớn lông xù
RECIPE_DESC.FT_CLOCK	Nó sẽ giúp mình ghi lại thời gian
RECIPE_DESC.FT_COFFEETABLE	Một chiếc bàn trà phát sáng
RECIPE_DESC.FT_COIN	Xe đẩy đầy cây~ yeah
RECIPE_DESC.FT_DEERCLOPS_ICEBOX_1	Tủ lạnh Deerclops
RECIPE_DESC.FT_DISPLAYCASE	Tủ trưng bày vật phẩm, rương
RECIPE_DESC.FT_DOODLINGCARPET	Thảm vẽ nguệch ngoạc
RECIPE_DESC.FT_DRAGONFLY_FACTORY_1	Lò luyện Dragonfly
RECIPE_DESC.FT_ELEPHANTSPRINKLER	Kho chứa, chống cháy chống héo
RECIPE_DESC.FT_FESTIVALHAT	Lễ giao thừa năm 2025
RECIPE_DESC.FT_FIREPLACE	Lò sưởi ấm áp~
RECIPE_DESC.FT_FLOWERRACK	Kệ hoa, có 9 ô bên trong
RECIPE_DESC.FT_FOXBAG	14 ô, có hiệu ứng giữ tươi
RECIPE_DESC.FT_FOXMASK_MALE	Xung quanh sáng lên rồi nè
RECIPE_DESC.FT_HEXSTICK	Gọi trăng tròn, thúc cây chín, gọi mưa gió, gọi trăng tối, gọi sấm sét
RECIPE_DESC.FT_HJMHAMMER	Mèo con ta hung lắm đó nha~
RECIPE_DESC.FT_HJMWELL	Ục ục ục··?! Có nguồn nước không?
RECIPE_DESC.FT_HOTPOT_ITEM	Mọi người cùng ăn lẩu, ba chỉ số mỗi cái hồi 150 điểm~
RECIPE_DESC.FT_LANTERN	Đèn lồng phát sáng
RECIPE_DESC.FT_LOTUSLEAF	Lá sen có thể đứng lên trên
RECIPE_DESC.FT_LOTUSLEAF_ITEM	Lá sen có thể đứng lên trên
RECIPE_DESC.FT_MAGICSTAFF	Công cụ đa năng
RECIPE_DESC.FT_MAGICSTONE	Giữa mùa hè oi ả, vật phải có để chống nóng lạnh
RECIPE_DESC.FT_PEBBLE_ITEM	Thật nhiều viên sỏi yên tĩnh
RECIPE_DESC.FT_PIANO	Bước đầu tiên để thành Beethoven
RECIPE_DESC.FT_PILLAR_1	Nó? Hình như phát sáng được?
RECIPE_DESC.FT_PLANTMA_CART	Xe đẩy đầy cây~ yeah
RECIPE_DESC.FT_POTION_BLUE	Tăng tốc 15% vĩnh viễn, mất hiệu lực sau khi chết
RECIPE_DESC.FT_POTION_GREEN	Tăng hiệu suất làm việc gấp 2 lần vĩnh viễn, mất hiệu lực sau khi chết
RECIPE_DESC.FT_POTION_RED	Tăng 25% sát thương tấn công vĩnh viễn, mất hiệu lực sau khi chết
RECIPE_DESC.FT_POTTEDPLANT	Trang trí ngôi nhà nhỏ bằng cây cối
RECIPE_DESC.FT_PUZZLE	Thảm ghép hình
RECIPE_DESC.FT_ROASTER	Nướng các loại thức ăn
RECIPE_DESC.FT_ROSELIGHT	Soi sáng con đường về nhà của bạn
RECIPE_DESC.FT_SHOWER	Rửa sạch vết bẩn trên người, tăng độ vệ sinh
RECIPE_DESC.FT_SINK	Rửa sạch đôi tay, tăng độ vệ sinh
RECIPE_DESC.FT_STONECONTAINER	Là một chiếc rương hình thù kỳ lạ
RECIPE_DESC.FT_STONESWORD2	Kiếm trong đá sau nâng cấp, tăng sát thương tăng tốc độ
RECIPE_DESC.FT_SWING	Mỗi giây hồi 5 máu và 5 tinh thần, giảm 5 độ ẩm ướt
RECIPE_DESC.FT_SWING_DOUBLE	Mỗi giây hồi 5 máu và 5 tinh thần, giảm 5 độ ẩm ướt
RECIPE_DESC.FT_TASK_MAIL	Hòm thư công hội
RECIPE_DESC.FT_TASK_STRUCTURE	Công trình nhiệm vụ
RECIPE_DESC.FT_TENT	Lều trại mọi người cùng dựng
RECIPE_DESC.FT_TENTACLE_UMBRELLA	Hình như dùng làm vũ khí được~
RECIPE_DESC.FT_TREELAMP	Cái cây phát sáng
RECIPE_DESC.FT_VICIOUSHAT	Đây là một chiếc mũ bị nguyền rủa, có lẽ che mưa được
RECIPE_DESC.FT_VICIOUSHAT2	Bộ chưa từng bị mắng à
RECIPE_DESC.FT_WANXIANGBAG	Ba lô 14 ô, giáp 90%, không hao mòn, có thể nâng cấp chức năng xếp chồng
RECIPE_DESC.FT_WISHSTICK	Lễ giao thừa năm 2025
RECIPE_DESC.NOCHANGXIAOWU0	Xây cho các con vật nhỏ một mái nhà yên tâm, chúng sẽ giúp bạn chăm ruộng~
RECIPE_DESC.THSJ_FEILIAO	Có thể thúc cây chín tới trạng thái trưởng thành
RECIPE_DESC.THSJ_ROCKTIPS	Hòn đá nhỏ để xây nhà
RECIPE_DESC.THSJ_TMB	Roi dây leo có sát thương khá tốt
RECIPE_DESC.THSJ_WINGS	Độ bền 500, giáp 90%
RECIPE_DESC.TURF_FT_TURF1	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF10	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF11	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF12	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF13	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF14	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF15	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF2	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF3	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF4	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF5	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF6	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF7	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF8	Dùng bản thiết kế để mở khóa công thức
RECIPE_DESC.TURF_FT_TURF9	Dùng bản thiết kế để mở khóa công thức
CHARACTERS.GENERIC.DESCRIBE.BREEDINGBOX_NC	Các con vật nhỏ sẽ trồng theo quy tắc xếp đặt hạt giống đấy
CHARACTERS.GENERIC.DESCRIBE.BREEDINGBOX_NC_BUILT	Các con vật nhỏ sẽ trồng theo quy tắc xếp đặt hạt giống đấy
CHARACTERS.GENERIC.DESCRIBE.CANARY2	Một chú chim vàng nhỏ, trông rất thanh lịch.
CHARACTERS.GENERIC.DESCRIBE.CATCOON2	Một nhóc tinh nghịch, tốt nhất nên để mắt tới.
CHARACTERS.GENERIC.DESCRIBE.COMMAND_STAFF	Có nó rồi, mình chính là bậc thầy chỉ huy hỗn loạn!
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_AVOCADO	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_CHERRY	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_LICHEE	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_MANGO	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_MANGOSTEEN	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_PINEAPPLE	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FARM_PLANT_FT_STRAWBERRY	Mong là nó sẽ nuôi lớn được một tinh linh nhỏ.
CHARACTERS.GENERIC.DESCRIBE.FENCE_NC	Trông có vẻ chặn được một con thỏ. Chắc là được.
CHARACTERS.GENERIC.DESCRIBE.FENCE_NC_BUILT	Trông có vẻ chặn được một con thỏ. Chắc là được.
CHARACTERS.GENERIC.DESCRIBE.FT_ALTAR	Vật hiến tế: Khế x600, Hạt tinh thể x100, Quặng tinh thể x200
CHARACTERS.GENERIC.DESCRIBE.FT_ARTCRAFT	Vật trang trí~
CHARACTERS.GENERIC.DESCRIBE.FT_AUTUMNHAT	Là Sùng Tử mang về từ một không thời gian khác
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc bơ đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_AVOCADO_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_BEACHUMBRELLA	Chỗ tốt để uống trà chiều
CHARACTERS.GENERIC.DESCRIBE.FT_BEARGER	Bé Bearger
CHARACTERS.GENERIC.DESCRIBE.FT_BEARGER_EGG	Trứng Bearger
CHARACTERS.GENERIC.DESCRIBE.FT_BEARGER_FACTORY	Xưởng gỗ Bearger
CHARACTERS.GENERIC.DESCRIBE.FT_BEARGER_FACTORY_BROKEN	Xưởng gỗ Bearger
CHARACTERS.GENERIC.DESCRIBE.FT_BED	Cuối cùng cũng có giường để ngủ rồi~
CHARACTERS.GENERIC.DESCRIBE.FT_BOOKCASE	Ma thuật sẽ tự sửa sách
CHARACTERS.GENERIC.DESCRIBE.FT_BOTTLELAMP	Đom đóm đang chăm chỉ làm việc~
CHARACTERS.GENERIC.DESCRIBE.FT_BREAD	Ngoài giòn trong mềm, ổ bánh mì hoàn hảo!
CHARACTERS.GENERIC.DESCRIBE.FT_BREAD_DRY	Cần chút nước... hoặc súp cũng được
CHARACTERS.GENERIC.DESCRIBE.FT_BUCKET	Thùng gỗ đựng nước
CHARACTERS.GENERIC.DESCRIBE.FT_BUCKET_FULL	Thùng gỗ đựng nước
CHARACTERS.GENERIC.DESCRIBE.FT_BUILDSTAFF	Lại là sức mạnh của ma thuật
CHARACTERS.GENERIC.DESCRIBE.FT_BUNDLEWRAP	Là cái lọ, hay là một chiếc vali nhỏ nhỉ?
CHARACTERS.GENERIC.DESCRIBE.FT_CANDLEFLOWER	Bắt tinh linh nhỏ trồng xuống đất
CHARACTERS.GENERIC.DESCRIBE.FT_CANDLEFLOWER_ITEM	Vật rơi ra từ hoa nến
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA	Quả khế phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_COOKED	Khế nướng~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_SEEDS	Hạt khế nướng
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_TREE	Cây khế phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_TREE_EMPTY	Cây khế phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_TREE_FULL	Cây khế phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_TREE_LARGE	Cây khế phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARAMBOLA_TREE_SMALL	Cây khế phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CARPET	Thảm lớn lông xù
CHARACTERS.GENERIC.DESCRIBE.FT_CHARCOAL	Là do bé Dragonfly chế ra!
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc anh đào đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
